country,DK/Refused,No,% people answered yes
Albania,1.0,88.0,11.0
Algeria,1.0,91.0,8.0
Argentina,0.0,72.0,28.0
Australia,0.0,79.0,21.0
Austria,2.0,84.0,14.0
Bahrain,1.0,71.0,28.0
Bangladesh,2.0,76.0,22.0
Belgium,1.0,83.0,16.0
Benin,2.0,83.0,14.0
Bolivia,1.0,64.0,35.0
Bosnia Herzegovina,1.0,86.0,13.0
Brazil,,69.0,31.0
Bulgaria,1.0,72.0,28.0
Burkina Faso,1.0,74.0,25.0
Cambodia,,94.0,6.0
Cameroon,0.0,66.0,33.0
Canada,0.0,78.0,21.0
Chile,0.0,64.0,36.0
China,1.0,92.0,8.0
Colombia,0.0,70.0,30.0
Congo Brazzaville,2.0,68.0,31.0
Costa Rica,1.0,69.0,30.0
Croatia,0.0,89.0,11.0
Cyprus,0.0,78.0,22.0
Czech Republic,0.0,86.0,13.0
Denmark,,83.0,17.0
Dominican Republic,0.0,66.0,34.0
Ecuador,1.0,60.0,39.0
Egypt,,77.0,23.0
El Salvador,0.0,70.0,30.0
Estonia,1.0,80.0,19.0
Ethiopia,,87.0,13.0
Finland,0.0,86.0,14.0
France,2.0,71.0,27.0
Gabon,2.0,74.0,24.0
Georgia,0.0,70.0,30.0
Germany,2.0,80.0,18.0
Ghana,2.0,76.0,22.0
Greece,,73.0,27.0
Guinea,1.0,76.0,23.0
Hong Kong,,90.0,10.0
Hungary,0.0,88.0,11.0
India,7.0,68.0,24.0
Indonesia,1.0,85.0,14.0
Iran,0.0,74.0,25.0
Iraq,0.0,68.0,32.0
Ireland,1.0,82.0,17.0
Israel,2.0,90.0,7.0
Italy,2.0,84.0,14.0
Ivory Coast,1.0,70.0,29.0
Japan,0.0,91.0,9.0
Jordan,0.0,75.0,25.0
Kazakhstan,6.0,79.0,16.0
Kenya,0.0,71.0,29.0
Kosovo,1.0,88.0,11.0
Kyrgyzstan,6.0,76.0,18.0
Laos,1.0,87.0,12.0
Latvia,1.0,81.0,18.0
Lebanon,2.0,80.0,18.0
Lithuania,7.0,85.0,8.0
Malaysia,1.0,79.0,20.0
Mali,1.0,80.0,19.0
Malta,1.0,78.0,21.0
Mauritius,1.0,70.0,29.0
Mexico,1.0,78.0,22.0
Moldova,0.0,81.0,19.0
Mongolia,0.0,81.0,19.0
Montenegro,1.0,91.0,8.0
Morocco,0.0,82.0,18.0
Myanmar,,87.0,13.0
Namibia,1.0,90.0,9.0
Nepal,,87.0,13.0
Netherlands,0.0,81.0,18.0
New Zealand,0.0,84.0,15.0
Nicaragua,0.0,64.0,35.0
Nigeria,1.0,85.0,15.0
North Macedonia,1.0,84.0,16.0
Norway,0.0,82.0,18.0
Paraguay,1.0,79.0,20.0
Philippines,,80.0,20.0
Poland,0.0,82.0,18.0
Romania,4.0,81.0,15.0
Russia,0.0,74.0,26.0
Saudi Arabia,,71.0,29.0
Senegal,1.0,79.0,20.0
South Africa,3.0,75.0,22.0
South Korea,0.0,89.0,11.0
Spain,2.0,77.0,21.0
Sri Lanka,3.0,76.0,21.0
Sweden,,82.0,18.0
Taiwan,1.0,96.0,3.0
Tanzania,0.0,74.0,26.0
Thailand,1.0,89.0,10.0
Tunisia,1.0,68.0,31.0
Turkey,0.0,81.0,19.0
Uganda,2.0,85.0,13.0
Ukraine,1.0,73.0,26.0
United Arab Emirates,2.0,80.0,18.0
United Kingdom,3.0,71.0,26.0
United States,,84.0,16.0
Uruguay,0.0,78.0,22.0
Uzbekistan,0.0,73.0,27.0
Venezuela,0.0,66.0,34.0
Vietnam,2.0,70.0,29.0
Zambia,,60.0,40.0
Zimbabwe,0.0,75.0,25.0
